Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
31948.562188235304,26868.45430882353,28000.465670588233,10588.170044117645,12382.10241212121,46877.8939888889,50885.46725294118,75556.50126451615,34697.13456764707,121202.67485882355,13113.694111764706,11244.532727586206,12250.900951612903,15031.205769696968,13120.520810714284,26848.912791176474,9944.479005882353,2021-01-01
31558.041808823527,27430.699311764714,29427.087594117645,10665.996605882352,12441.971206060605,45512.01754999999,46842.79565882353,80394.68236250003,33735.72239117647,121788.37719411767,13121.160194117649,11530.63154,12380.685706451612,15107.44569090909,13228.75309642857,26058.425882352945,10013.870314705882,2021-02-01
34183.433452941186,28346.33997941177,29864.62222105263,10712.08856470588,12443.087366666665,46094.49442413793,48200.46065588235,93695.05202121213,33985.197417647054,122032.64410000002,13102.304194117649,11748.571829999999,12572.379616129032,15230.996688235293,13471.1751,25473.346161764704,10109.817064705883,2021-03-01
32600.46800588235,28633.496617647048,29137.06033684211,10782.387323529412,12398.609554545454,46977.721013333336,46589.135997058824,77108.25671249999,35806.71981470589,123613.11236764705,13102.56402352941,11861.543719999996,12776.241322580645,15328.853882352943,13633.15707586207,25902.54829411765,10169.332252941178,2021-04-01
32225.36507058823,29022.117567647056,29178.085661904763,10574.240784848485,12417.704481818184,40720.64858387098,38593.804417647065,65219.89475625001,37091.696817647055,127921.2317852941,13047.280152941179,12119.869766666667,13220.283619354837,15543.782217647058,13787.498089655171,26023.16309117647,10217.161744117644,2021-05-01
30752.447461764703,28662.948264705883,29439.020819047622,10556.202735294113,12371.003451515153,31779.56386,31304.024011764708,55754.95654687501,36469.95922647059,125633.87595294118,13038.985999999999,12346.498090000001,13293.668406451612,15715.04089705882,13992.225362068966,26223.30477647059,10182.557220588236,2021-06-01
32482.633923529414,28869.607047058817,27878.725790476194,10351.801370588233,12317.852775757578,34270.33162,35913.476008823534,68180.05939062499,34025.40202647059,126470.40085588234,13006.587917647057,12463.713876666665,13333.818867741935,15828.542497058823,14121.335955172412,25922.627905882353,10190.388376470588,2021-07-01
33502.704120588234,29058.07649117647,30006.87716842105,10330.090079411764,12334.758215151513,28558.272093333337,28375.241429411763,49854.500365625,32361.646735294125,126000.24227941179,12977.146285294117,12466.51312,13810.677161290323,16009.152035294117,14299.28396551724,25752.769838235297,10186.616405882352,2021-08-01
29167.248782352937,28292.434129411766,28397.124599999996,10305.399723529412,12319.539966666667,27264.56836,26915.726388235296,38197.699015625,34165.16758235294,125480.96577941177,12957.641794117646,12444.13247666667,14136.121041935485,16333.469988235292,14534.257937931034,24312.66435588235,10215.709138235294,2021-09-01
28275.90726764706,28174.813444117648,29111.67813181818,10291.474947058823,12332.121439393939,32191.548676666676,32269.296844117653,40469.91491874999,35162.84154411764,125472.5880029412,12964.529529411768,12355.35932,14786.632116129038,16786.734317647057,15193.511228571428,23726.62385882353,10237.219997058823,2021-10-01
