Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
35249.73903235295,29291.6033617647,29233.5966241342,10880.689289285712,12380.317125757574,33823.55729,32904.44383125,40621.95025862068,33999.1183382353,110817.93165588236,13050.739994117648,11122.1272,10409.785784848482,15053.88914375,12504.967606129807,25537.33240882353,9066.806247058821,2016-01-01
30864.91880588236,30691.565200000015,29233.5966241342,10989.333917857144,12380.317125757574,36577.249258620686,32709.159418749994,33742.446589285726,31857.715182352946,112701.45363823527,13090.209570588237,11056.777736666667,10510.97336969697,14926.996715625,12504.967606129807,24504.589626470584,9070.099694117647,2016-02-01
37937.2780147059,33832.27776764705,29233.5966241342,10911.422807142857,12380.317125757574,46347.56831935483,45530.24865625001,47500.300506060594,30370.97145882353,112484.40675294117,13023.3375,11124.424465625,10907.300220588237,14848.523659375,12504.967606129807,23289.625455882357,8984.080882352937,2016-03-01
42805.142094117655,36621.94843529413,29233.5966241342,10699.358099999998,12380.317125757574,32956.083412903216,33292.484821875,35320.188954545454,29559.052585294117,112056.16600882355,13152.540408823532,11037.193659375,11259.574470588232,14878.3419875,12504.967606129807,22452.59195,8999.559514705881,2016-04-01
42438.413917647056,36724.50346176472,29233.5966241342,10564.829078571429,12380.317125757574,31198.615222580644,31470.343484375,34168.3403,30982.064623529415,112218.45949411766,14600.974582352937,11108.970148484843,11635.033441176474,14962.838012121214,12504.967606129807,23026.477629411773,8911.552902941174,2016-05-01
37826.8566,37097.89273235295,29233.5966241342,10549.77939642857,12380.317125757574,31485.312012903232,31564.947757575763,34254.00031612903,32893.85025000002,114499.77586176472,15810.381314705885,10977.03867272727,11811.163835294115,14956.784475757571,12504.967606129807,24472.95500882353,8912.675211764707,2016-06-01
42073.05587352941,37344.84859411765,29233.5966241342,10524.198310714286,12380.317125757574,33362.00930333333,33820.587978125004,38658.362519354836,33792.72230294118,115794.35441764705,16141.63595882353,11057.08195151515,11674.472776470588,14912.06314375,12504.967606129807,24280.33027352941,8965.03720882353,2016-07-01
41040.57434411763,36092.567250000015,29233.5966241342,10526.619585714283,12380.317125757574,32413.095909999996,33847.31304375,42513.817638709676,32949.65333235294,113893.50080882349,15647.02071176471,10944.12728181818,11630.462505882351,14904.675757575757,12504.967606129807,24049.585820588243,8880.146173529412,2016-08-01
40477.50685,36416.47474117648,29233.5966241342,10551.361085714288,12380.317125757574,37457.63539666667,38265.098334375,36934.02159375,31679.937608823537,114121.17157058824,14936.302047058822,10878.13005151515,11903.897194117646,14956.776057575757,12504.967606129807,23469.31629117647,8865.581458823528,2016-09-01
36390.90925588236,36224.453805882345,29233.5966241342,10569.028382142858,12380.317125757574,43215.416479999985,42550.17121515152,36137.63089032259,30878.327058823532,113093.69908529412,14503.459370588234,10274.182924242425,11685.973097058823,14969.925012121208,12504.967606129807,22919.98841470588,8868.806008823529,2016-10-01
41273.790426470594,37536.09418235294,29233.5966241342,10566.549567857142,12380.317125757574,52679.97247333333,52123.40325454546,47433.70393225807,30580.10145294118,113425.47832352943,14286.248788235293,10219.682478787878,11437.74579117647,14953.704015151514,12504.967606129807,22401.103473529412,8891.899497058823,2016-11-01
40066.64315,38537.32525,29233.5966241342,10575.207349999997,12380.317125757574,44806.71867000001,45082.68431818182,51447.01404999999,31524.112664705877,114144.68736470588,14182.048894117645,10236.837645454543,11444.050485294114,14476.433657575759,12504.967606129807,23488.017417647057,8856.638900000002,2016-12-01
36068.6298,38620.80835588235,29233.5966241342,10617.667014285717,12380.317125757574,39167.54985714285,42937.61753333334,85204.20832413793,33005.66071764706,114032.7772764706,14045.548661764704,10269.11319032258,11466.99716470588,14514.793054545451,12504.967606129807,23584.43550882353,8891.263405882353,2017-01-01
36321.824173529436,39501.99469411765,29233.5966241342,10659.95532857143,12380.317125757574,39507.780567857146,43256.621975,105217.95629285712,30041.29512058824,115408.40199117648,13880.138264705878,10366.96318064516,11552.964672727272,14459.902563636355,12504.967606129807,22530.402129411767,8821.797935294117,2017-02-01
37814.99150294118,39011.7783647059,29233.5966241342,10605.819664285716,12380.317125757574,33608.59336774194,38106.86690294117,92417.75644375,29398.14330882353,114739.23635,13799.078038235293,10704.075567741937,11866.735576470588,15022.7654125,12504.967606129807,21939.63970588236,8860.624814705883,2017-03-01
33968.662652941166,41038.11783235294,29233.5966241342,10507.912667857143,12380.317125757574,30878.868354838713,30746.596905882358,60022.25821212121,30713.840255882347,114960.01342352944,13793.136099999994,10888.95558181818,11942.30094411765,15000.12149375,12504.967606129807,22742.85145882353,8866.09769117647,2017-04-01
30960.737617647057,51947.415738235286,29233.5966241342,10502.517825,12380.317125757574,31170.171103333334,29866.166667647067,51304.812403030286,31732.43509411764,115524.99056176467,13656.41741764706,10861.953884375003,11921.484608823534,15029.149403125002,12504.967606129807,24193.47968235295,8781.109114705885,2017-05-01
